city,Lat,Lng,Max Temp,Cloudiness,Humidity,Wind Speed,Country,Date
bosarkany,47.6882,17.25,66.36,97.0,90.0,12.62,HU,1622954563.0
tamandare,-8.7597,-35.1047,74.98,14.0,86.0,8.21,BR,1622954564.0
kenai,60.5544,-151.2583,66.29,1.0,67.0,13.8,US,1622954564.0
albany,42.6001,-73.9662,71.47,44.0,81.0,4.81,US,1622954207.0
baykit,61.67,96.37,44.01,92.0,56.0,14.2,RU,1622954564.0
sioux lookout,50.1001,-91.917,75.58,75.0,60.0,8.05,CA,1622954284.0
nhulunbuy,-12.2333,136.7667,83.01,40.0,65.0,16.11,AU,1622954564.0
mao,39.8885,4.2658,64.96,20.0,94.0,6.91,ES,1622954391.0
busselton,-33.65,115.3333,62.04,83.0,68.0,16.24,AU,1622954110.0
diamantino,-14.4086,-56.4461,74.61,100.0,54.0,4.5,BR,1622954565.0
sawtell,-30.3833,153.1,68.32,0.0,42.0,10.36,AU,1622954565.0
iberia,29.9502,-91.7507,75.18,20.0,100.0,9.53,US,1622954565.0
nanortalik,60.1432,-45.2371,39.4,100.0,86.0,5.95,GL,1622954236.0
dikson,73.5069,80.5464,30.78,100.0,97.0,11.27,RU,1622954118.0
saint-philippe,-21.3585,55.7679,75.47,61.0,80.0,0.87,RE,1622954323.0
vaini,-21.2,-175.2,77.16,75.0,73.0,1.14,TO,1622954131.0
chuy,-33.6971,-53.4616,50.56,100.0,90.0,7.76,UY,1622954385.0
nikolskoye,59.7035,30.7861,64.29,100.0,55.0,3.22,RU,1622954332.0
ulladulla,-35.35,150.4667,65.3,7.0,45.0,6.51,AU,1622954401.0
kamenskoye,-15.8233,-50.6133,72.03,100.0,49.0,3.96,BR,1622954566.0
itapirapua,-9.8,-139.0333,79.21,15.0,70.0,14.25,PF,1622954330.0
atuona,-31.6683,18.5012,59.47,5.0,30.0,14.12,ZA,1622954566.0
mahadday weyne,-34.4187,19.2345,61.9,12.0,39.0,8.95,ZA,1622954332.0
vredendal,37.2001,-94.3502,71.65,1.0,79.0,9.75,US,1622954566.0
hermanus,-54.8,-68.3,29.86,0.0,100.0,9.22,AR,1622954109.0
