City_ID,city,Lat,Lng,Max Temp,Cloudiness,Humidity,Wind Speed,Country,Date
0,bosarkany,47.6882,17.25,64.56,1.0,93.0,6.6,HU,1623025141.0
1,tamandare,-8.7597,-35.1047,75.9,33.0,86.0,8.41,BR,1623024973.0
2,kenai,60.5544,-151.2583,69.03,1.0,49.0,14.97,US,1623024870.0
3,albany,42.6001,-73.9662,84.07,41.0,68.0,3.71,US,1623024912.0
4,baykit,61.67,96.37,42.13,68.0,62.0,4.23,RU,1623025141.0
5,sioux lookout,50.1001,-91.917,77.38,75.0,65.0,8.05,CA,1623025142.0
6,nhulunbuy,-12.2333,136.7667,83.01,75.0,65.0,14.97,AU,1623025142.0
7,mao,39.8885,4.2658,63.16,0.0,88.0,6.91,ES,1623025142.0
8,busselton,-33.65,115.3333,47.08,0.0,78.0,7.25,AU,1623025142.0
9,diamantino,-14.4086,-56.4461,76.95,74.0,51.0,4.59,BR,1623025143.0
10,sawtell,-30.3833,153.1,64.42,1.0,55.0,5.75,AU,1623025143.0
11,iberia,29.9502,-91.7507,82.38,20.0,83.0,9.37,US,1623025143.0
12,nanortalik,60.1432,-45.2371,43.5,100.0,77.0,12.86,GL,1623025143.0
13,dikson,73.5069,80.5464,29.91,99.0,91.0,12.91,RU,1623025144.0
14,saint-philippe,-21.3585,55.7679,72.99,79.0,85.0,15.52,RE,1623025144.0
15,vaini,-21.2,-175.2,78.96,75.0,78.0,13.8,TO,1623025144.0
16,chuy,-33.6971,-53.4616,50.31,70.0,79.0,6.29,UY,1623025144.0
17,nikolskoye,59.7035,30.7861,58.89,72.0,87.0,3.18,RU,1623025145.0
18,ulladulla,-35.35,150.4667,62.87,98.0,60.0,6.89,AU,1623025145.0
19,kamenskoye,-15.8233,-50.6133,77.07,100.0,45.0,3.02,BR,1623025145.0
20,itapirapua,-9.8,-139.0333,80.46,52.0,62.0,7.2,PF,1623024921.0
21,atuona,-31.6683,18.5012,68.27,0.0,25.0,26.42,ZA,1623025146.0
22,mahadday weyne,-34.4187,19.2345,67.89,1.0,44.0,11.52,ZA,1623025146.0
23,vredendal,37.2001,-94.3502,78.98,40.0,74.0,1.99,US,1623025146.0
24,hermanus,-54.8,-68.3,42.46,40.0,65.0,17.27,AR,1623025146.0
25,jasper,-19.9842,57.6142,73.89,13.0,84.0,1.99,MU,1623025147.0
26,ushuaia,-21.2078,-159.775,75.25,75.0,64.0,5.75,CK,1623025147.0
27,cap malheureux,-33.9258,18.4232,68.34,11.0,34.0,14.23,ZA,1623024916.0
28,avarua,77.484,-69.3632,39.69,64.0,76.0,5.91,GL,1623025147.0
29,cape town,63.05,179.3167,34.54,100.0,99.0,4.34,RU,1623024848.0
30,qaanaaq,51.8,68.3333,55.71,92.0,42.0,6.71,KZ,1623025147.0
31,beringovskiy,-42.8794,147.3294,60.22,75.0,61.0,1.99,AU,1623025148.0
32,atbasar,65.4167,-52.9,39.06,100.0,94.0,9.4,GL,1623025148.0
33,hobart,50.6996,-127.4199,57.38,75.0,67.0,8.05,CA,1623025148.0
34,maniitsoq,44.4064,131.3769,66.72,18.0,70.0,2.51,RU,1623025149.0
35,taolanaro,12.485,-16.5469,80.78,9.0,84.0,9.13,SN,1623025149.0
36,port hardy,-2.7619,-42.2744,79.36,28.0,80.0,5.97,BR,1623025149.0
37,pogranichnyy,-23.1203,-134.9692,76.78,99.0,83.0,14.9,PF,1623025149.0
38,oussouye,57.0531,-135.33,53.49,90.0,71.0,6.91,US,1623025150.0
39,tutoia,49.4783,15.6499,59.61,39.0,86.0,1.14,CZ,1623025150.0
40,rikitea,-53.15,-70.9167,39.31,0.0,81.0,10.25,CL,1623025150.0
41,sitka,-46.6,168.3333,49.8,54.0,76.0,7.54,NZ,1623025150.0
42,dobronin,-46.1333,167.6833,49.82,16.0,73.0,4.41,NZ,1623025150.0
43,barentsburg,42.097,-79.2353,81.72,1.0,53.0,5.75,US,1623025151.0
44,punta arenas,-24.8667,113.6333,60.87,90.0,72.0,8.05,AU,1623025151.0
45,bluff,-33.918,25.5701,50.29,0.0,57.0,4.61,ZA,1623025151.0
46,tuatapere,38.421,-121.4238,95.45,1.0,29.0,7.0,US,1623025151.0
47,jamestown,53.9667,121.9667,71.83,7.0,38.0,4.38,RU,1623025152.0
48,carnarvon,19.7297,-155.09,84.27,90.0,70.0,10.36,US,1623024886.0
49,port elizabeth,36.2505,-121.2516,74.75,7.0,23.0,17.27,US,1623025152.0
50,laguna,71.9167,114.0833,40.37,81.0,52.0,5.26,RU,1623025152.0
51,yerofey pavlovich,24.5557,-81.7826,86.0,75.0,74.0,18.41,US,1623025005.0
52,nizhneyansk,14.905,-12.4568,96.4,1.0,22.0,13.4,SN,1623025152.0
53,hilo,-3.8004,102.2655,74.23,23.0,88.0,4.36,ID,1623025153.0
54,monterey,42.8115,10.3146,67.68,100.0,84.0,5.53,IT,1623025153.0
55,saskylakh,-33.8679,151.2073,60.06,0.0,72.0,1.01,AU,1623025119.0
56,key west,-0.3582,42.5454,76.48,58.0,85.0,13.71,SO,1623025153.0
57,bakel,4.25,-54.3833,73.33,99.0,96.0,2.98,GF,1623025153.0
58,bengkulu,-2.4177,115.2494,75.67,100.0,96.0,1.48,ID,1623025154.0
59,portoferraio,28.7086,-81.2081,85.62,1.0,77.0,1.99,US,1623025059.0
60,sydney,70.4692,-68.5914,34.03,90.0,93.0,18.41,CA,1623025154.0
61,kismayo,12.6675,-0.5758,84.13,42.0,47.0,16.4,BF,1623025154.0
62,grand-santi,-14.6585,17.691,50.45,65.0,60.0,5.32,AO,1623025154.0
63,amuntai,-34.7333,135.8667,62.35,79.0,51.0,25.39,AU,1623024895.0
64,seminole,9.9342,13.9486,82.45,98.0,58.0,5.03,CM,1623025155.0
65,clyde river,65.85,74.4859,36.79,37.0,66.0,10.36,RU,1623025155.0
66,boulsa,62.456,-114.3525,50.56,75.0,57.0,7.0,CA,1623025155.0
67,menongue,71.6872,128.8694,42.89,100.0,67.0,2.48,RU,1623025155.0
68,port lincoln,-24.7911,-50.0119,61.47,97.0,66.0,2.28,BR,1623025156.0
69,guider,71.9667,102.5,35.11,97.0,82.0,7.27,RU,1623025156.0
70,vaitupu,37.3482,59.6143,78.64,0.0,38.0,7.14,TM,1623025086.0
71,pangody,37.7167,-25.4333,64.81,95.0,86.0,0.92,PT,1623025156.0
72,yellowknife,-0.6,73.0833,82.89,12.0,74.0,13.06,MV,1623025156.0
73,tiksi,63.7506,-68.5145,33.53,75.0,86.0,5.99,CA,1623025157.0
74,castro,31.61,34.7642,68.68,0.0,76.0,1.34,IL,1623025157.0
75,khatanga,-30.1811,-50.2056,63.28,100.0,75.0,11.48,BR,1623025157.0
76,kaka,41.0002,-115.5012,87.82,31.0,5.0,21.0,US,1623024914.0
77,vila franca do campo,39.05,-27.9833,63.68,100.0,88.0,12.41,PT,1623024874.0
78,hithadhoo,66.7697,123.3711,53.85,100.0,40.0,15.48,RU,1623025158.0
79,iqaluit,-38.0023,-57.5575,54.12,64.0,69.0,5.01,AR,1623024898.0
80,gat,15.85,-97.0667,83.89,67.0,81.0,5.75,MX,1623025158.0
81,cidreira,-46.1927,168.8643,49.48,49.0,70.0,4.09,NZ,1623025158.0
82,elko,24.0934,32.907,82.31,2.0,17.0,12.71,EG,1623025096.0
83,lagoa,55.2999,-123.1698,61.56,98.0,31.0,5.41,CA,1623024950.0
84,zhigansk,62.2266,-6.589,49.12,100.0,99.0,13.56,FO,1623025158.0
85,mar del plata,18.7369,7.3853,91.35,48.0,14.0,9.86,NE,1623025159.0
86,puerto escondido,-22.9661,-42.0278,73.58,100.0,87.0,18.45,BR,1623025159.0
